ISO3,Country,2015
CUB,Cuba,22.68
VCT,Saint Vincent and the Grenadines,22.72
MEX,Mexico,22.73
MEX,Mexico,22.77
GRD,Grenada,22.87
LCA,Saint Lucia,22.89
LCA,Saint Lucia,22.94
VCT,Saint Vincent and the Grenadines,23.09
GRD,Grenada,23.14
GUY,Guyana,23.14
AZE,Azerbaijan,23.21
TTO,Trinidad and Tobago,23.32
PHL,Philippines,23.72
VNM,Viet Nam,23.75
KGZ,Kyrgyzstan,23.88
BRB,Barbados,23.89
SRB,Serbia,23.9
CHL,Chile,23.92
UZB,Uzbekistan,23.97
NAM,Namibia,24.05
KEN,Kenya,24.07
LSO,Lesotho,24.28
TTO,Trinidad and Tobago,24.41
LSO,Lesotho,24.49
KHM,Cambodia,24.51
ZWE,Zimbabwe,24.56
TZA,United Republic of Tanzania,24.57
MWI,Malawi,24.63
BRB,Barbados,24.82
SRB,Serbia,24.85
BIH,Bosnia and Herzegovina,24.86
KHM,Cambodia,25.05
BWA,Botswana,25.05
ZAF,South Africa,25.15
SRB,Serbia,25.15
BWA,Botswana,25.16
ZWE,Zimbabwe,25.18
BOL,Bolivia (Plurinational State of),25.18
BWA,Botswana,25.18
HND,Honduras,25.41
BRB,Barbados,25.42
ZWE,Zimbabwe,25.45
HND,Honduras,25.47
HND,Honduras,25.51
KAZ,Kazakhstan,25.6
MWI,Malawi,25.62
KOR,Republic of Korea,25.69
MWI,Malawi,25.83
LSO,Lesotho,25.84
MKD,The former Yugoslav Republic of Macedonia,25.94
ARM,Armenia,26.03
BOL,Bolivia (Plurinational State of),26.06
PER,Peru,26.32
CHL,Chile,26.34
KOR,Republic of Korea,26.41
SUR,Suriname,26.48
KOR,Republic of Korea,26.5
KEN,Kenya,26.6
TZA,United Republic of Tanzania,26.73
GUY,Guyana,26.77
GEO,Georgia,26.95
KHM,Cambodia,27.21
BOL,Bolivia (Plurinational State of),27.29
KEN,Kenya,27.45
TZA,United Republic of Tanzania,27.51
NAM,Namibia,27.56
SOM,Somalia,27.66
SOM,Somalia,27.67
SOM,Somalia,27.67
BIH,Bosnia and Herzegovina,28.14
MAR,Morocco,28.19
KGZ,Kyrgyzstan,28.24
UZB,Uzbekistan,28.3
THA,Thailand,28.3
MAR,Morocco,28.38
MAR,Morocco,28.57
SLV,El Salvador,28.97
SLV,El Salvador,29.14
SLV,El Salvador,29.28
ZMB,Zambia,29.42
ZAF,South Africa,29.42
MKD,The former Yugoslav Republic of Macedonia,29.59
LBN,Lebanon,29.64
THA,Thailand,29.83
GTM,Guatemala,30.17
SUR,Suriname,30.2
PER,Peru,30.46
GTM,Guatemala,30.47
LBN,Lebanon,30.66
BIH,Bosnia and Herzegovina,30.69
LBN,Lebanon,30.7
ZMB,Zambia,30.79
GTM,Guatemala,30.88
ETH,Ethiopia,31.11
ZMB,Zambia,31.45
TJK,Tajikistan,31.6
ETH,Ethiopia,31.85
THA,Thailand,31.88
ETH,Ethiopia,32.13
TUN,Tunisia,32.48
JOR,Jordan,32.76
MMR,Myanmar,33.02
MMR,Myanmar,33.15
JOR,Jordan,33.2
TKM,Turkmenistan,33.26
TUN,Tunisia,33.27
PER,Peru,33.32
MKD,The former Yugoslav Republic of Macedonia,33.64
IRN,Iran (Islamic Republic of),33.68
MMR,Myanmar,33.73
ARM,Armenia,33.84
UZB,Uzbekistan,33.86
DZA,Algeria,34.13
IRN,Iran (Islamic Republic of),34.45
SSD,South Sudan,34.57
SSD,South Sudan,34.75
SSD,South Sudan,34.77
TJK,Tajikistan,34.86
IRN,Iran (Islamic Republic of),35.02
MNG,Mongolia,35.07
DZA,Algeria,35.18
TUN,Tunisia,35.34
ERI,Eritrea,35.35
SYR,Syrian Arab Republic,35.58
BDI,Burundi,36.56
PRK,Democratic People's Republic of Korea,36.64
BDI,Burundi,36.81
TUR,Turkey,36.88
BTN,Bhutan,36.9
ERI,Eritrea,37.02
TUR,Turkey,37.21
BDI,Burundi,37.25
JOR,Jordan,37.28
AGO,Angola,37.36
SYR,Syrian Arab Republic,37.43
BTN,Bhutan,37.57
BTN,Bhutan,37.68
ERI,Eritrea,37.69
TUR,Turkey,37.73
DJI,Djibouti,38.22
AGO,Angola,38.29
DJI,Djibouti,38.34
STP,Sao Tome and Principe,38.38
DJI,Djibouti,38.5
BEN,Benin,38.8
PRK,Democratic People's Republic of Korea,38.89
STP,Sao Tome and Principe,39
STP,Sao Tome and Principe,39.17
RWA,Rwanda,39.42
DZA,Algeria,39.57
RWA,Rwanda,39.7
PRK,Democratic People's Republic of Korea,39.74
RWA,Rwanda,39.83
CAN,Canada,4.93
YEM,Yemen,40.26
AGO,Angola,40.32
GAB,Gabon,40.38
GAB,Gabon,40.81
OMN,Oman,41.33
YEM,Yemen,41.46
GAB,Gabon,41.51
COG,Congo,41.67
UGA,Uganda,41.96
COD,Democratic Republic of the Congo,42.04
YEM,Yemen,42.12
BEN,Benin,42.17
ARE,United Arab Emirates,42.24
CHN,China,42.43
COD,Democratic Republic of the Congo,42.5
UGA,Uganda,42.75
MNG,Mongolia,42.79
COG,Congo,42.88
CAF,Central African Republic,42.9
SDN,Sudan,42.99
CAF,Central African Republic,43.27
COD,Democratic Republic of the Congo,43.35
CAF,Central African Republic,43.45
OMN,Oman,43.69
SDN,Sudan,43.8
SDN,Sudan,44.08
GNQ,Equatorial Guinea,44.38
COG,Congo,44.42
GNQ,Equatorial Guinea,44.47
ARE,United Arab Emirates,44.87
GNQ,Equatorial Guinea,45.04
TGO,Togo,45.09
BEN,Benin,45.38
TGO,Togo,45.48
ARM,Armenia,45.53
OMN,Oman,45.72
UGA,Uganda,45.74
CHN,China,45.76
ARE,United Arab Emirates,45.84
TGO,Togo,46.08
LBY,Libya,46.37
TJK,Tajikistan,46.47
SYR,Syrian Arab Republic,46.76
NGA,Nigeria,47.11
CHN,China,48.77
LBY,Libya,49.23
SWE,Sweden,5.15
FIN,Finland,5.33
EST,Estonia,5.73
SWE,Sweden,5.73
FIN,Finland,5.75
ISL,Iceland,5.81
ISL,Iceland,5.81
ISL,Iceland,5.82
LBY,Libya,50.31
GHA,Ghana,51.65
LBR,Liberia,52.03
LBR,Liberia,52.28
LBR,Liberia,52.47
AFG,Afghanistan,52.84
GIN,Guinea,53.12
SLE,Sierra Leone,53.26
GIN,Guinea,53.32
GNB,Guinea-Bissau,53.76
GIN,Guinea,53.8
IRQ,Iraq,54.18
BFA,Burkina Faso,54.22
SLE,Sierra Leone,54.28
GNB,Guinea-Bissau,54.43
GHA,Ghana,54.5
GNB,Guinea-Bissau,55.02
AFG,Afghanistan,55.14
IRQ,Iraq,55.42
GHA,Ghana,55.62
BFA,Burkina Faso,55.96
SLE,Sierra Leone,56.02
PAK,Pakistan,56.18
IRQ,Iraq,56.39
BFA,Burkina Faso,56.48
KWT,Kuwait,56.52
CIV,Côte d’Ivoire,56.71
GMB,Gambia,56.73
CIV,Côte d’Ivoire,57.65
